,precision,recall,f1-score,support,AUC,accuracy,model
0,0.8795180722891566,0.8622047244094488,0.8707753479125248,508.0,0.8771455276723503,0.8778195488721805,LogReg_50
1,0.8763250883392226,0.8920863309352518,0.8841354723707665,556.0,0.8771455276723503,0.8778195488721805,LogReg_50
macro avg,0.8779215803141895,0.8771455276723503,0.8774554101416456,1064.0,0.8771455276723503,0.8778195488721805,LogReg_50
weighted avg,0.8778495581198301,0.8778195488721805,0.8777567663324329,1064.0,0.8771455276723503,0.8778195488721805,LogReg_50
0,0.8862660944206009,0.812992125984252,0.8480492813141683,508.0,0.8588341924885288,0.8609022556390977,LogReg_100
1,0.8411371237458194,0.9046762589928058,0.8717504332755631,556.0,0.8588341924885288,0.8609022556390977,LogReg_100
macro avg,0.8637016090832101,0.8588341924885289,0.8598998572948657,1064.0,0.8588341924885288,0.8609022556390977,LogReg_100
weighted avg,0.86268366237626,0.8609022556390977,0.8604344697451226,1064.0,0.8588341924885288,0.8609022556390977,LogReg_100
0,0.8568738229755178,0.8956692913385826,0.8758421559191529,508.0,0.8794893219282841,0.8787593984962406,LogReg_200
1,0.900562851782364,0.8633093525179856,0.8815426997245178,556.0,0.8794893219282841,0.8787593984962406,LogReg_200
macro avg,0.8787183373789409,0.8794893219282841,0.8786924278218353,1064.0,0.8794893219282841,0.8787593984962406,LogReg_200
weighted avg,0.879703804194133,0.8787593984962406,0.8788210115166932,1064.0,0.8794893219282841,0.8787593984962406,LogReg_200
0,0.9402061855670103,0.8976377952755905,0.918429003021148,508.0,0.9227397609471477,0.9238721804511278,LogReg_400
1,0.9101899827288429,0.947841726618705,0.9286343612334802,556.0,0.9227397609471477,0.9238721804511278,LogReg_400
macro avg,0.9251980841479266,0.9227397609471477,0.9235316821273141,1064.0,0.9227397609471477,0.9238721804511278,LogReg_400
weighted avg,0.9245210269410506,0.9238721804511278,0.9237618781772164,1064.0,0.9227397609471477,0.9238721804511278,LogReg_400
0,0.9507494646680942,0.8740157480314961,0.9107692307692308,508.0,0.916324420778338,0.918233082706767,LogReg_800
1,0.8927973199329984,0.9586330935251799,0.924544666088465,556.0,0.916324420778338,0.918233082706767,LogReg_800
macro avg,0.9217733923005462,0.916324420778338,0.9176569484288479,1064.0,0.916324420778338,0.918233082706767,LogReg_800
weighted avg,0.92046620106592,0.918233082706767,0.917967672533793,1064.0,0.916324420778338,0.918233082706767,LogReg_800
0,0.9581589958158996,0.9015748031496063,0.9290060851926978,508.0,0.9328017900640116,0.9342105263157895,LogReg_1600
1,0.9146757679180887,0.9640287769784173,0.9387040280210157,556.0,0.9328017900640116,0.9342105263157895,LogReg_1600
macro avg,0.9364173818669941,0.9328017900640118,0.9338550566068567,1064.0,0.9328017900640116,0.9342105263157895,LogReg_1600
weighted avg,0.9354365571775698,0.9342105263157895,0.9340738071969692,1064.0,0.9328017900640116,0.9342105263157895,LogReg_1600
0,0.9660297239915074,0.8956692913385826,0.9295199182839632,508.0,0.9334461564606582,0.9351503759398496,LogReg_2716
1,0.9106239460370995,0.9712230215827338,0.9399477806788512,556.0,0.9334461564606582,0.9351503759398496,LogReg_2716
macro avg,0.9383268350143035,0.9334461564606582,0.9347338494814073,1064.0,0.9334461564606582,0.9351503759398496,LogReg_2716
weighted avg,0.9370770806243544,0.9351503759398496,0.9349690644226453,1064.0,0.9334461564606582,0.9351503759398496,LogReg_2716
0,0.8865096359743041,0.8149606299212598,0.8492307692307693,508.0,0.8598184444570328,0.8618421052631579,GaussianLogReg_50
1,0.8425460636515912,0.9046762589928058,0.8725065047701648,556.0,0.8598184444570328,0.8618421052631579,GaussianLogReg_50
