matchId,blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
3509154503.0,1,26552.0,312.0,112.0,9.4,24006.0,341.0,72.0,9.2,10.0,1.0,1.0,7.0,1.0,1.0
3399325117.0,1,24988.0,337.0,92.0,9.0,26926.0,348.0,76.0,9.4,8.0,1.0,1.0,13.0,1.0,0.0
3509873934.0,1,30622.0,325.0,81.0,9.2,24678.0,273.0,70.0,8.4,15.0,1.0,1.0,8.0,1.0,6.0
3449661263.0,1,27481.0,349.0,92.0,9.0,25179.0,218.0,101.0,9.0,10.0,2.0,0.0,13.0,1.0,2.0
3504143429.0,1,28053.0,354.0,87.0,9.6,24731.0,299.0,71.0,8.8,13.0,1.0,1.0,11.0,1.0,2.0
3503841883.0,1,27386.0,325.0,66.0,9.4,24955.0,309.0,80.0,9.0,15.0,1.0,0.0,9.0,2.0,1.0
3452314518.0,1,24233.0,339.0,92.0,9.2,28638.0,374.0,86.0,8.8,8.0,1.0,2.0,12.0,2.0,0.0
3407224466.0,1,26580.0,359.0,89.0,9.6,21506.0,288.0,86.0,8.6,11.0,2.0,0.0,5.0,0.0,0.0
3467271542.0,1,29872.0,341.0,98.0,9.8,25469.0,282.0,72.0,9.0,18.0,3.0,0.0,12.0,0.0,3.0
3504217787.0,1,26331.0,346.0,101.0,9.2,24082.0,358.0,78.0,9.2,9.0,1.0,0.0,7.0,1.0,1.0
3495354819.0,1,23945.0,315.0,77.0,9.0,26071.0,342.0,63.0,9.2,7.0,1.0,1.0,14.0,1.0,1.0
3490629933.0,1,22137.0,358.0,94.0,9.0,23365.0,363.0,72.0,9.2,3.0,2.0,1.0,4.0,1.0,0.0
3379129920.0,1,23061.0,334.0,83.0,8.6,26738.0,383.0,95.0,9.2,4.0,2.0,1.0,9.0,1.0,0.0
3511666545.0,1,25674.0,335.0,123.0,9.2,26048.0,319.0,73.0,9.4,10.0,3.0,1.0,12.0,0.0,0.0
3507281987.0,1,25893.0,336.0,80.0,8.8,26833.0,370.0,88.0,9.6,10.0,3.0,0.0,10.0,0.0,1.0
3472585778.0,1,24250.0,326.0,71.0,9.4,22675.0,339.0,86.0,8.6,10.0,0.0,1.0,3.0,3.0,0.0
3490092374.0,1,35539.0,393.0,116.0,10.4,20119.0,216.0,61.0,7.6,20.0,2.0,0.0,6.0,1.0,9.0
3475648821.0,1,25415.0,319.0,68.0,9.0,26321.0,377.0,96.0,9.2,11.0,0.0,1.0,8.0,2.0,1.0
3492260029.0,1,27754.0,318.0,67.0,9.0,26415.0,329.0,88.0,9.0,12.0,1.0,0.0,11.0,2.0,1.0
3506522635.0,1,29135.0,364.0,102.0,9.6,24483.0,310.0,49.0,8.4,13.0,2.0,0.0,9.0,0.0,1.0
3475018816.0,1,29941.0,341.0,72.0,9.2,26404.0,294.0,103.0,9.4,16.0,1.0,0.0,14.0,2.0,1.0
3512512602.0,1,32708.0,344.0,98.0,9.4,25892.0,345.0,63.0,8.8,17.0,3.0,0.0,13.0,0.0,3.0
3500046401.0,1,31411.0,358.0,80.0,9.8,24798.0,295.0,79.0,8.4,19.0,1.0,0.0,11.0,1.0,2.0
3501902474.0,1,30142.0,314.0,73.0,9.4,22531.0,287.0,81.0,8.6,20.0,3.0,0.0,7.0,0.0,2.0
3507423578.0,1,23178.0,360.0,104.0,9.0,23334.0,346.0,92.0,9.0,3.0,2.0,0.0,5.0,1.0,0.0
3480436060.0,1,29798.0,340.0,100.0,9.6,24110.0,290.0,60.0,8.6,20.0,2.0,0.0,10.0,0.0,0.0
3490374659.0,1,33951.0,394.0,98.0,10.2,21003.0,261.0,53.0,8.2,25.0,2.0,0.0,5.0,0.0,5.0
3508763956.0,1,25305.0,396.0,109.0,9.4,25897.0,357.0,93.0,9.4,4.0,0.0,2.0,9.0,3.0,1.0
3478582646.0,1,24513.0,267.0,72.0,8.6,25158.0,278.0,75.0,8.8,11.0,0.0,1.0,12.0,3.0,1.0
3511586369.0,1,24034.0,342.0,112.0,9.4,22824.0,339.0,80.0,9.2,6.0,1.0,0.0,5.0,1.0,0.0
3480713043.0,1,23217.0,292.0,84.0,8.6,23892.0,357.0,68.0,9.2,6.0,3.0,1.0,7.0,0.0,1.0
3455291886.0,1,25886.0,357.0,94.0,9.8,23335.0,370.0,73.0,9.4,9.0,2.0,1.0,2.0,0.0,1.0
3469290513.0,1,32383.0,379.0,98.0,9.6,24850.0,308.0,98.0,9.0,18.0,2.0,0.0,8.0,1.0,2.0
3511437027.0,1,24830.0,369.0,95.0,9.0,25399.0,358.0,98.0,8.8,7.0,2.0,0.0,10.0,0.0,0.0
3473618568.0,1,25624.0,366.0,79.0,9.0,25855.0,282.0,74.0,8.6,11.0,2.0,0.0,15.0,1.0,0.0
3493522734.0,1,30303.0,381.0,124.0,10.2,21343.0,312.0,79.0,8.6,18.0,2.0,0.0,2.0,0.0,1.0
3498754191.0,1,27858.0,299.0,113.0,9.6,24822.0,345.0,76.0,8.8,13.0,1.0,1.0,7.0,1.0,1.0
3494919007.0,1,23733.0,352.0,84.0,8.8,29415.0,375.0,69.0,9.6,5.0,0.0,1.0,19.0,3.0,0.0
